Nom,Fabricant,Production State,Image,Role,Taille,Equipage,Cargo,Lien
Scorpius,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/3/30/RSI_Scorpius_on_ArcCorp.png/400px-RSI_Scorpius_on_ArcCorp.png.webp,Heavy Fighter,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/Scorpius
Scorpius Antares,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/5/57/Scorpius_Antares_Concept_Roadmap.png/400px-Scorpius_Antares_Concept_Roadmap.png.webp,Heavy Fighter,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/Scorpius_Antares
Scythe,Esperia,Flight ready,,,,,,https://starcitizen.tools/Scythe
Scythe,Vanduul Clans,Active for Squadron 42,,,,,,https://starcitizen.tools/Scythe
Spartan,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/f/ff/Spartan_Concept_Attack_-_cropped_and_adjusted.png/400px-Spartan_Concept_Attack_-_cropped_and_adjusted.png.webp,Transport,"Vehicle
(S4/M
)",1,0 SCU,https://starcitizen.tools/Spartan
SRV,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/5/5a/SRV_towing_cargo_container_into_hangar_-_Cut.png/400px-SRV_towing_cargo_container_into_hangar_-_Cut.png.webp,Recovery,"Small
(S3/S
)",1,12 SCU,https://starcitizen.tools/SRV
Starfarer,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/f/fc/Starfarer_-_Flying_over_Lorville_with_traffic.jpg/400px-Starfarer_-_Flying_over_Lorville_with_traffic.jpg.webp,Heavy Refuelling,"Large
(S5/L
)",1 – 7,291 SCU,https://starcitizen.tools/Starfarer
Starfarer Gemini,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/a/af/Starfarer_Gemini_-_Flying_with_blue_sky_and_clouds.jpg/400px-Starfarer_Gemini_-_Flying_with_blue_sky_and_clouds.jpg.webp,Heavy Refuelling,"Large
(S5/L
)",1 – 7,291 SCU,https://starcitizen.tools/Starfarer_Gemini
Starlancer MAX,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/1/10/SC-3.24_20241115_110052_StarlancerMax-Clouds_f.png/400px-SC-3.24_20241115_110052_StarlancerMax-Clouds_f.png.webp,Medium freight,"Large
(S5/L
)",1 – 4,224 SCU,https://starcitizen.tools/Starlancer_MAX
Starlancer TAC,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/1/1e/Starlancer_TAC_Flying_over_red_world_firing_guns_-_cropped.jpg/400px-Starlancer_TAC_Flying_over_red_world_firing_guns_-_cropped.jpg.webp,Patrol,Large,1 – 7,96 SCU,https://starcitizen.tools/Starlancer_TAC
Storm,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/0/07/Storm_closeup_firing_weapons.jpg/400px-Storm_closeup_firing_weapons.jpg.webp,Combat Support,"Vehicle
(S4/M
)",1,0 SCU,https://starcitizen.tools/Storm
Storm AA,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/0/01/Storm_AA_in_forest_firing_weapons_-_Cut_-_Contrast_change.jpg/400px-Storm_AA_in_forest_firing_weapons_-_Cut_-_Contrast_change.jpg.webp,Combat Support,"Vehicle
(S4/M
)",1,0 SCU,https://starcitizen.tools/Storm_AA
STV,Greycat Industrial,Flight ready,https://media.starcitizen.tools/thumb/5/57/GRIN-STV-3.17.3-magda.jpg/400px-GRIN-STV-3.17.3-magda.jpg.webp,Transport,"Vehicle
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/STV
Syulen,Gatac Manufacture,Flight ready,https://media.starcitizen.tools/thumb/0/01/Syulen_leaving_microTech.png/400px-Syulen_leaving_microTech.png.webp,Starter,"Small
(S3/S
)",1,6 SCU,https://starcitizen.tools/Syulen
Talon,Esperia,Flight ready,https://media.starcitizen.tools/thumb/f/f5/Talon_-_Diving_blurred_background.jpg/400px-Talon_-_Diving_blurred_background.jpg.webp,Light Fighter,"Small
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Talon
Talon Shrike,Esperia,Flight ready,https://media.starcitizen.tools/thumb/7/74/Talon_Diving_Concept.jpg/400px-Talon_Diving_Concept.jpg.webp,Light Fighter,"Small
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Talon_Shrike
Terrapin,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/e/ed/Terrapin_-_x2_in_formation_over_worlds_-_cropped.jpg/400px-Terrapin_-_x2_in_formation_over_worlds_-_cropped.jpg.webp,Pathfinder,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/Terrapin
Terrapin Medic,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/4/48/SC-3.24_20241206_133812_Terrapin-Medic-over-Hurston.png/400px-SC-3.24_20241206_133812_Terrapin-Medic-over-Hurston.png.webp,Medical support,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Terrapin_Medic
Ursa,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/1/15/Ursa_3.1.4_01.png/400px-Ursa_3.1.4_01.png.webp,Exploration,"Vehicle
(S3/S
)",1 – 2,2 SCU,https://starcitizen.tools/Ursa
Ursa Fortuna,Roberts Space Industries,Playable,https://media.starcitizen.tools/thumb/e/e6/Ursa_Fortuna_on_barren_world_-_Leftside_-_cropped.jpg/400px-Ursa_Fortuna_on_barren_world_-_Leftside_-_cropped.jpg.webp,Exploration,"Vehicle
(S3/S
)",1 – 2,2 SCU,https://starcitizen.tools/Ursa_Fortuna
Ursa Medivac,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/0/06/Ursa_Medivac_driving_by_Cutlass_crash_site_-_Cropped.jpg/400px-Ursa_Medivac_driving_by_Cutlass_crash_site_-_Cropped.jpg.webp,Ambulance,"Vehicle
(S3/S
)",3 – 1,0 SCU,https://starcitizen.tools/Ursa_Medivac
Valkyrie,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/0/07/Valkyrie_flying_through_debris_shooting_back_at_ships_-_cut.jpg/400px-Valkyrie_flying_through_debris_shooting_back_at_ships_-_cut.jpg.webp,Dropship,"Large
(S4/M
)",1 – 5,30 SCU,https://starcitizen.tools/Valkyrie
Valkyrie Liberator,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/b/b4/Valkyrie_%27Liberator%27_flying_fast_-_Above.png/400px-Valkyrie_%27Liberator%27_flying_fast_-_Above.png.webp,Dropship,"Large
(S4/M
)",1 – 5,30 SCU,https://starcitizen.tools/Valkyrie_Liberator
Vanguard Harbinger,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/7/73/Harbinger_-_Main_gun_firing_close_-_Front.jpg/400px-Harbinger_-_Main_gun_firing_close_-_Front.jpg.webp,Bomber,"Medium
(S3/S
)",2,0 SCU,https://starcitizen.tools/Vanguard_Harbinger
Vanguard Hoplite,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/f/f4/HopLite_-_Flying_over_ArcCorp_-_Crop.jpg/400px-HopLite_-_Flying_over_ArcCorp_-_Crop.jpg.webp,Dropship,"Medium
(S3/S
)",1 – 2,0 SCU,https://starcitizen.tools/Vanguard_Hoplite
Vanguard Sentinel,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/c/cd/Sentinel_-_Flying_through_debris_field_firing_guns.jpg/400px-Sentinel_-_Flying_through_debris_field_firing_guns.jpg.webp,Interdiction,"Medium
(S3/S
)",2,0 SCU,https://starcitizen.tools/Vanguard_Sentinel
Vanguard Warden,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/4/41/Warden_-_3.6.0_-_Landed_in_hangar_-_Front_Port.jpg/400px-Warden_-_3.6.0_-_Landed_in_hangar_-_Front_Port.jpg.webp,Heavy Fighter,"Medium
(S3/S
)",2,0 SCU,https://starcitizen.tools/Vanguard_Warden
Vulcan,Aegis Dynamics,In concept,https://media.starcitizen.tools/thumb/c/c3/Vulcan_-_Flying_repairing_Eclipse_with_drones.jpg/400px-Vulcan_-_Flying_repairing_Eclipse_with_drones.jpg.webp,"Medium Repair, Medium Refuel",Medium,1 – 3,12 SCU,https://starcitizen.tools/Vulcan
Vulture,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/b/b8/Vulture_flying_through_debris_field.jpg/400px-Vulture_flying_through_debris_field.jpg.webp,Light Salvage,"Small
(S2/XS
)",1,12 SCU,https://starcitizen.tools/Vulture
X1,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/9/9f/X1_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png/400px-X1_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png.webp,Touring,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/X1
X1 Force,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/f/fa/X1_Force_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png/400px-X1_Force_firing_weapon_moving_fast_against_blurred_BG_-_Cut.png.webp,Combat,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/X1_Force
X1 Velocity,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/d/d7/X1_Velocity_profile_streak.png/400px-X1_Velocity_profile_streak.png.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/X1_Velocity
Zeus Mk II CL,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/d/d6/Zeus_mkII_CL_landed_loading_cargo_-_cropped.png/400px-Zeus_mkII_CL_landed_loading_cargo_-_cropped.png.webp,Medium Freight,"Medium
(S3/S
)",1 – 3,128 SCU,https://starcitizen.tools/Zeus_Mk_II_CL
Zeus Mk II ES,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/9/9e/SC-3.24_20241025_204114_Zeus-ES-Good-Doctor_f.png/400px-SC-3.24_20241025_204114_Zeus-ES-Good-Doctor_f.png.webp,Explorer,"Medium
(S3/S
)",1 – 3,32 SCU,https://starcitizen.tools/Zeus_Mk_II_ES
Zeus Mk II MR,Roberts Space Industries,Active production,https://media.starcitizen.tools/thumb/b/b0/RSI_ZeusMkII_MR_-_Cut.png/400px-RSI_ZeusMkII_MR_-_Cut.png.webp,Bounty Hunter,Medium,1 – 3,16 SCU,https://starcitizen.tools/Zeus_Mk_II_MR
